Lead score,Company Name,CompanyDomain,Trading name,Tags,Street,Postal code,City,Province,Distance,Country,Employees,Employees in group,Branch,Branch code national,Branch name national,Branch code international,Branch name international,Reg no.,Legal entity,Founded,VAT,URL,Phone number,Pages,First visit,Last visit,Sessions,Days,Duration,Comments,Twitter,Facebook,LinkedIn,Youtube,Pinterest,Instagram,GitHub,Dribbble,Xing,Whatsapp,Vimeo,Sales volume,Email address,Link to inbox,stripped_domain
0.05,West Essex Health Authority,hertsandwestessex.ics.nhs.uk,DR V Sehra - DR Sehra - the Drive Surgery,,68 the Drive,IG13HZ,Ilford,London,,GB,34486,0,Hospitals and Health Care,,,8011,Offices and Clinics of Doctors of Medicine,,,,,http://nhs.net,"4,42086E+16",3,2026-09-04 15:42:00,5/13/2026 13:40,3,3,65,,,https://www.facebook.com/TheMidYorkshireHospitalsNHSTrust,https://www.linkedin.com/company/nhs-hertfordshire-and-west-essex-integrated-care-board/,https://www.youtube.com/channel/UCk6YA1hfD1X6EZd_2FW8A2g,,https://www.instagram.com/midyorkshirenhs,,,,,,,,https://portal.leadinfo.com/inbox/custom-20260326-20260520/134676984,hertsandwestessex
0.1,Hyundai Motorsport GmbH,hyundai.com,,,Brusseler Platz 1-2,63067,Offenbach am Main,"Offenbach Am Main, Stadt",344km,DE,14287,247,Motor Vehicle Manufacturing,196,Car Repair Shops And Retailers,3711,Motor Vehicles and Passenger Car Bodies,HRB 57882,Corporation,2012,,https://www.hyundai.com,"4,96938E+18",1,4/14/2026 3:39,4/14/2026 3:39,1,1,5,,,https://www.facebook.com/Hyundaiworldwide,https://www.linkedin.com/company/hyundai-motor-europe/,https://www.youtube.com/c/hyundaipolska,,https://www.instagram.com/hyundai_motor_poland,,,,,https://www.vimeo.com/cookie_policy,134471060,info@hyundai.be,https://portal.leadinfo.com/inbox/custom-20260326-20260520/20240567,hyundai
0.35,New York University Berlin,nyu.edu,,,Schönhauser Allee 36,10435,Berlin,Berlin,600km,DE,14148,50,Higher Education,,,8221,"Colleges, Universities, and Professional Schools",,Foreign Company,2006,,https://www.nyu.edu,49302902910,1,5/19/2026 3:03,5/19/2026 3:03,1,1,5,,https://www.twitter.com/nyuniversity,https://www.facebook.com/NYU,https://www.linkedin.com/company/nyu-continuing-dental-education/,https://www.youtube.com/user/nyu,,https://www.instagram.com/nyuniversity,,,https://www.xing.com/pages/tristaraustriagmbh,,,€3.993.408,financial.aid@nyu.edu,https://portal.leadinfo.com/inbox/custom-20260326-20260520/139804021,nyu
0.75,New York University,nyu.edu,N Y U,"Hot, Meer dan 6 pagina's bezocht",70 Washington SQ S,10012,New York,New York,5867km,US,14148,21000,Higher Education,611310,,8221,"Colleges, Universities, and Professional Schools",60,Corporation,1831,,https://www.nyu.edu,12129981212,4,3/28/2026 16:48,2026-12-05 14:35:00,4,4,20,,,https://www.facebook.com/NYU,https://www.linkedin.com/company/nyu-wasserman-center-for-career-development/,https://www.youtube.com/user/nyu,,https://www.instagram.com/nyuniversity,,,,,,$ 18.241.674.000,financial.aid@nyu.edu,https://portal.leadinfo.com/inbox/custom-20260326-20260520/460116823,nyu
0.05,Crisis24 Assistance Services Limited,abm.com,,,Two,SE19RA,London,Greater London,330km,GB,13506,86,Business Consulting and Services,82990,,7389,"Business Services, Not Elsewhere Classified",11908215,Corporation,2019,11908215,https://www.abm.com,"4,42071E+16",2,5/18/2026 9:08,5/18/2026 9:08,1,1,10,,,https://www.facebook.com/ABMIndustries,https://www.linkedin.com/company/162238/,,,,,,,,,£ 3.272.284,privacyquestions@abm.com,https://portal.leadinfo.com/inbox/custom-20260326-20260520/89322655,abm
0.65,Arizona State University,asu.edu,,"Hot, Meer dan 6 pagina's bezocht",300 E University DR Ste 410,85281,Tempe,Arizona,8710km,US,12536,8000,Higher Education,611310,,8221,"Colleges, Universities, and Professional Schools",,Corporation,2010,,https://www.asu.edu,14809653759,4,2026-02-04 13:04:00,5/18/2026 11:32,4,4,20,,,https://www.facebook.com/arizonastateuniversity,https://www.linkedin.com/company/edplus-at-arizona-state-university/,https://www.youtube.com/channel/UCI3_ODpxjUq4IIvcrNe6WYw,,https://www.instagram.com/arizonastateuniversity,,,,,,$ 2.930.903.000,asuinternational@asu.edu,https://portal.leadinfo.com/inbox/custom-20260326-20260520/465738889,asu
0.05,Amcor Flexibles Distribution UK Limited,amcor.com,Bemis Elsham,,The Flarepath,DN200SP,Brigg,North Lincolnshire,395km,GB,12285,77,Business Consulting and Services,82990,,7389,"Business Services, Not Elsewhere Classified",949464,Corporation,1969,949464,https://www.amcor.com,"4,41513E+16",1,4/14/2026 16:32,4/14/2026 16:32,1,1,25,,,,https://www.linkedin.com/company/bemis-company-inc-/,,,,,,https://www.xing.com/pages/amcor,,,£ 17.290.000,info@amcor.com,https://portal.leadinfo.com/inbox/custom-20260326-20260520/3286374,amcor
0.05,Open Text UK Limited,opentext.com,,,420 Thames Valley Park Drive,RG61PT,Reading,Wokingham,389km,GB,12093,581,IT System Custom Software Development,62010,,7371,Computer Programming Services,3148093,Corporation,1996,3148093,https://www.opentext.com,"4,4119E+15",2,4/14/2026 21:54,2026-11-05 11:58:00,2,2,20,,,,https://www.linkedin.com/company/opentext/,https://www.youtube.com/user/opentextcorp,,,,,,,,£ 111.791.816,support@opentext.com,https://portal.leadinfo.com/inbox/custom-20260326-20260520/4928752,opentext
0.55,Unisys Europe Limited,unisys.com,Unisys,"Hot, Meer dan 6 pagina's bezocht",Enigma Wavendon bus.,MK178LX,Milton Keynes,Central Bedfordshire,367km,GB,11625,273,IT System Custom Software Development,62012,,7371,Computer Programming Services,9799479,Corporation,2015,9799479,https://www.unisys.com,"4,4203E+15",3,4/15/2026 9:04,2026-08-05 15:11:00,3,3,75,,,https://www.facebook.com/UnisysCorp,https://www.linkedin.com/company/unisys/,https://www.youtube.com/channel/UCVFzCw3E0iGDp-5OmR8Ddww,,https://www.instagram.com/unisyscorp,,,,,,£ 164.453.000,,https://portal.leadinfo.com/inbox/custom-20260326-20260520/6122771,unisys
0.1,Michigan State University,msu.edu,,MS Places,426 Auditorium RD,48824,East Lansing,Michigan,6371km,US,11042,11100,Higher Education,561110,,8221,"Colleges, Universities, and Professional Schools",386005984,Corporation,1965,,https://www.msu.edu,15173551855,2,4/24/2026 17:30,2026-10-05 20:31:00,2,2,20,,https://twitter.com/michiganstateu/,https://www.facebook.com/spartans.msu,https://www.linkedin.com/company/asmsu/,https://www.youtube.com/channel/UCwFnbW4MKB9EIrnd04ybQsQ,,https://www.instagram.com/michiganstateu,,,,,,$ 362.336.643,rpadams@msu.edu,https://portal.leadinfo.com/inbox/custom-20260326-20260520/186614711,msu
